col name,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,is_inc_v,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,revol_bal,revol_util,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,policy_code,not_compliant,status,inactive_loans,bad_loans,emp_length_num,grade_num,sub_grade_num,delinq_2yrs_zero,pub_rec_zero,collections_12_mths_zero,short_emp,payment_inc_ratio,final_d,last_delinq_none,last_record_none,last_major_derog_none
sql type,int(11),int(11),text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text
ex,57167,137225,25000,25000,24725, 36 months,16.99,891.2,D,D3,Verified,20140801T000000,Late (31-120 days),n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=57167,Trying to pay a friend back for apartment broker\'s fee incurred from as well as credit card stuff.,debt_consolidation,mlue,19878,66.3,f,23365.3,23108.3,2718.16,2688.26,1634.65,1038.95,44.56,0,0,20141201T000000,935.76,20150301T000000,20150201T000000,0,1,0,Late (31-120 days),0,0,2,3,0.6,1,1,1,0,15.2777,20170801T000000,0,1,1
new type,int,int,double,double,double,int,double,double,,,,date,enum and add new col with how long,,,,,,double,double,??,double,double,double,double,double,double,double,??,double,date,double,date,date,??,int,int,enum and add number?,int,int,int,int,double,int,int,int,int,double,date,int,int,int
new unit,,,$,$,$,months,percent (maybe go to decimal),$,,,,date,,,,,,,$,??,,$,$,$,$,$,$,$,,$,date,$,date,date,,??,??,payment status,num inactive loans,failed loans?,??,??,??,??,??,??,??,ratio,end date,??,??,??
,,,,,,,,,,,,,,,,,,,,,,outstanding principle?,??,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
